Id,Country,City,Latitude,Longitude,Population,IdProche,NCTNumber,Disease,Condition,Intervention,Phases,Enrollment,PrincipalInvestigationLocation
531,france,valenciennes,50.357065,3.527885,42941,0,NCT02043964,Multiple Sclerosis,CIS,Other,N/A,242,Centre Hospitalier de Valenciennes
532,united states of america,bethesda,38.9805556,-77.1005556,52801,43,NCT01617395,Multiple Sclerosis,All,Other,N/A,2050,National Institutes of Health Clinical Center
533,france,nimes,43.833778,4.359623,137532,0,NCT02636829,Multiple Sclerosis,All,Other,N/A,100,CHRU de Nîmes - Hôpital Universitaire Carémeau
534,united kingdom,london,51.514125,-0.093689,7421228,534,NCT02606630,Multiple Sclerosis,RRMS,Drug,Phase 1,24,Site Reference ID/Investigator# 141463
535,united kingdom,whitechapel,51.516667,-0.05,14862,62,NCT02606630,Multiple Sclerosis,RRMS,Drug,Phase 1,24,Site Reference ID/Investigator# 141461
536,france,rennes,48.111981,-1.674291,213334,0,NCT01065727,Multiple Sclerosis,RRMS,Other,Phase 2,250,CHU Rennes
537,france,brest,48.390756,-4.486165,150554,0,NCT01065727,Multiple Sclerosis,RRMS,Other,Phase 2,250,CHU Cavale Blanche
538,united kingdom,london,51.514125,-0.093689,7421228,538,NCT01910259,Multiple Sclerosis,Progressive Multiple Sclerosis,Drug,Phase 2,440,The National hospital for Neurology and Neurosurgery - University College London
539,united kingdom,edinburgh,55.95,-3.2,435794,539,NCT01910259,Multiple Sclerosis,Progressive Multiple Sclerosis,Drug,Phase 2,440,Anne Rowling Regenerative Neurology Clinic - Royal Infirmary of Edinburgh
540,united kingdom,glasgow,55.833333,-4.25,610271,540,NCT01910259,Multiple Sclerosis,Progressive Multiple Sclerosis,Drug,Phase 2,440,Gartnavel Royal Hospital - 1055 Great Western Road
541,united kingdom,haywards heath,50.983333,-0.1,29660,62,NCT01910259,Multiple Sclerosis,Progressive Multiple Sclerosis,Drug,Phase 2,440,Brighton and Sussex University Hospitals
542,united kingdom,leeds,53.8,-1.583333,455124,542,NCT01910259,Multiple Sclerosis,Progressive Multiple Sclerosis,Drug,Phase 2,440,St James's University Hospital
543,united kingdom,liverpool,53.416667,-3,468946,543,NCT01910259,Multiple Sclerosis,Progressive Multiple Sclerosis,Drug,Phase 2,440,The Walton Centre
544,united kingdom,newcastle,54.988056,-1.619444,289835,0,NCT01910259,Multiple Sclerosis,Progressive Multiple Sclerosis,Drug,Phase 2,440,The Royal Victoria Infirmary
545,united kingdom,nottingham,52.966667,-1.166667,246655,124,NCT01910259,Multiple Sclerosis,Progressive Multiple Sclerosis,Drug,Phase 2,440,Queens Medical Centre
546,united kingdom,oxford,51.75,-1.25,154567,0,NCT01910259,Multiple Sclerosis,Progressive Multiple Sclerosis,Drug,Phase 2,440,John Radcliffe Hospital - Oxford University Hospitals NHS Trust
547,united kingdom,plymouth,50.396389,-4.138611,247298,1578,NCT01910259,Multiple Sclerosis,Progressive Multiple Sclerosis,Drug,Phase 2,440,Derriford Hospital
548,united kingdom,sheffield,53.366667,-1.5,447048,548,NCT01910259,Multiple Sclerosis,Progressive Multiple Sclerosis,Drug,Phase 2,440,Royal Hallamshire Hospital
549,united kingdom,stoke-on-trent,53,-2.183333,260420,502,NCT01910259,Multiple Sclerosis,Progressive Multiple Sclerosis,Drug,Phase 2,440,University Hospital of North Staffordshire
550,united kingdom,truro,50.261667,-5.043333,22044,0,NCT01910259,Multiple Sclerosis,Progressive Multiple Sclerosis,Drug,Phase 2,440,Royal Cornwall Hospital
551,france,paris,48.866667,2.333333,2110694,551,NCT02424396,Multiple Sclerosis,RRMS,Drug,Phase 2,30,Centre d'investigation Clinique - Pitié salpêtrière
552,france,paris,48.866667,2.333333,2110694,552,NCT02424396,Multiple Sclerosis,RRMS,Drug,Phase 2,30,Centre d'investigation clinique Biothérapie Immunologie (CIC-BTi) - Groupe Hospitalier Pitié-Salpêtrière - AP-HP
553,france,paris,48.866667,2.333333,2110694,553,NCT02424396,Multiple Sclerosis,RRMS,Drug,Phase 2,30,Département des maladies du système nerveux et Centre d'investigation clinique - Groupe Hospitalier Pitié-Salpêtrière - AP-HP
562,united states of america,chicago,41.85,-87.65,2841952,562,NCT00273364,Multiple Sclerosis,CIS,Stem Cells,Phase 3,110,Northwestern University - Feinberg School of Medicine
563,france,nice,43.713644,7.25952,341621,0,NCT01866878,Multiple Sclerosis,All,Device,N/A,30,Hôpital Pasteur
564,united kingdom,glasgow,55.833333,-4.25,610271,564,NCT02136485,Multiple Sclerosis,All,Behavioral,N/A,50,NHS Centre for Integrative Care
565,united states of america,portland,45.5236111,-122.675,540513,565,NCT02583386,Multiple Sclerosis,All,Behavioral,N/A,94,VA Portland Health Care System
566,belgium,yvoir,50.333333,4.883333,8169,1012,NCT02266121,Multiple Sclerosis,RRMS,Device,N/A,100,Department of Neurology - CHU Dinant Godinne UcL Namur
567,chile,santiago,-33.45,-70.666667,4837248,567,NCT02273635,Multiple Sclerosis,Progressive Multiple Sclerosis,Drug,Phase 1-Phase 2,68,Multiple Sclerosis Centre - Pontificia Universidad Catolica de Chile
568,mexico,guadalajara,20.666667,-103.333333,1640649,568,NCT02769767,Multiple Sclerosis,All,Biological,N/A,500,Instituto Jalisciense de Cancerología
569,switzerland,basel,47.558395,7.573271,164474,0,NCT02433028,Multiple Sclerosis,CIS,Other,N/A,1200,University Hospital Basel
570,switzerland,aarau,47.389616,8.052354,15007,0,NCT02433028,Multiple Sclerosis,CIS,Other,N/A,1200,Cantonal Hospital Aarau
571,switzerland,bern,46.916667,7.466667,123018,0,NCT02433028,Multiple Sclerosis,CIS,Other,N/A,1200,University Hospital Berne
572,switzerland,geneva,46.195602,6.148113,181492,0,NCT02433028,Multiple Sclerosis,CIS,Other,N/A,1200,University Hospital Geneva
573,switzerland,saint gallen,47.42539,9.377615,75310,0,NCT02433028,Multiple Sclerosis,CIS,Other,N/A,1200,Cantonal Hospital St. Gallen
574,switzerland,lugano,46.006182,8.951142,26327,7,NCT02433028,Multiple Sclerosis,CIS,Other,N/A,1200,Regional Hospital Lugano
575,switzerland,lausanne,46.533333,6.666667,118015,0,NCT02433028,Multiple Sclerosis,CIS,Other,N/A,1200,University Hospital Lausanne
576,canada,calgary,51.083333,-114.083333,968475,576,NCT02087631,Multiple Sclerosis,RRMS,Drug,Phase 1-Phase 2,36,MS Clinic - Foothills Medical Centre  
577,united states of america,west orange,40.7986111,-74.2394444,48131,1,NCT02297932,Multiple Sclerosis,All,Behavioral,N/A,20,Kessler Foundation
578,united states of america,ann arbor,42.2708333,-83.7263889,113810,191,NCT02296346,Multiple Sclerosis,Progressive Multiple Sclerosis,Drug,Phase 1,66,University of Michigan Health Systems
579,iran,tehran,35.7261,51.3304,8846782,579,NCT02463318,Multiple Sclerosis,RRMS,Drug,Phase 2,34,Solaleh Emamgholipour
580,france,bron,45.740218,4.922415,36263,523,NCT02543788,Multiple Sclerosis,All,Other,N/A,60,Unité de Neuro-Ophtalmologie - Hôpital Neurologique - HOSPICES CIVILS DE LYON
581,united states of america,gilbert,33.3527778,-111.7883333,170829,81,NCT02525874,Multiple Sclerosis,RRMS,Drug,Phase 3,200,Biogen Investigative Site
582,united states of america,long beach,33.7669444,-118.1883333,482618,582,NCT02525874,Multiple Sclerosis,RRMS,Drug,Phase 3,200,Biogen Investigative Site
583,united states of america,ocala,29.1869444,-82.1402778,49558,0,NCT02525874,Multiple Sclerosis,RRMS,Drug,Phase 3,200,Biogen Investigative Site
584,united states of america,tampa,27.9472222,-82.4586111,324465,0,NCT02525874,Multiple Sclerosis,RRMS,Drug,Phase 3,200,Biogen Investigative Site
585,united states of america,tampa,27.9472222,-82.4586111,324465,0,NCT02525874,Multiple Sclerosis,RRMS,Drug,Phase 3,200,Biogen Investigative Site
586,united states of america,atlanta,33.7488889,-84.3880556,422908,586,NCT02525874,Multiple Sclerosis,RRMS,Drug,Phase 3,200,Biogen Investigative Site
587,united states of america,overland park,38.9822222,-94.6705556,166010,1051,NCT02525874,Multiple Sclerosis,RRMS,Drug,Phase 3,200,Biogen Investigative Site
588,united states of america,baltimore,39.2902778,-76.6125,610892,588,NCT02525874,Multiple Sclerosis,RRMS,Drug,Phase 3,200,Biogen Investigative Site
589,united states of america,traverse city,44.7630556,-85.6205556,14425,0,NCT02525874,Multiple Sclerosis,RRMS,Drug,Phase 3,200,Biogen Investigative Site
590,united states of america,raleigh,35.7719444,-78.6388889,338759,0,NCT02525874,Multiple Sclerosis,RRMS,Drug,Phase 3,200,Biogen Investigative Site
591,united states of america,spartanburg,34.9494444,-81.9322222,37992,0,NCT02525874,Multiple Sclerosis,RRMS,Drug,Phase 3,200,Biogen Investigative Site
592,united states of america,san antonio,29.4238889,-98.4933333,1256810,592,NCT02525874,Multiple Sclerosis,RRMS,Drug,Phase 3,200,Biogen Investigative Site
593,united states of america,salt lake city,40.7608333,-111.8902778,178026,0,NCT02525874,Multiple Sclerosis,RRMS,Drug,Phase 3,200,Biogen Investigative Site
594,united states of america,tacoma,47.2530556,-122.4430556,196957,73,NCT02525874,Multiple Sclerosis,RRMS,Drug,Phase 3,200,Biogen Investigative Site
595,belgium,la louviere,50.466667,4.183333,76668,1012,NCT02525874,Multiple Sclerosis,RRMS,Drug,Phase 3,200,Biogen Investigative Site
596,bulgaria,pleven,43.4166667,24.6166667,132542,0,NCT02525874,Multiple Sclerosis,RRMS,Drug,Phase 3,200,Biogen Investigative Site
597,bulgaria,pleven,43.4166667,24.6166667,132542,0,NCT02525874,Multiple Sclerosis,RRMS,Drug,Phase 3,200,Biogen Investigative Site
598,bulgaria,sofia,42.6833333,23.3166667,1062065,598,NCT02525874,Multiple Sclerosis,RRMS,Drug,Phase 3,200,Biogen Investigative Site
599,bulgaria,sofia,42.6833333,23.3166667,1062065,599,NCT02525874,Multiple Sclerosis,RRMS,Drug,Phase 3,200,Biogen Investigative Site
600,croatia,vukovar,45.3433333,18.9997222,29584,0,NCT02525874,Multiple Sclerosis,RRMS,Drug,Phase 3,200,Biogen Investigative Site
601,croatia,zagreb,45.8,16,698967,601,NCT02525874,Multiple Sclerosis,RRMS,Drug,Phase 3,200,Biogen Investigative Site
602,lithuania,kaunas,54.9,23.9,374655,0,NCT02525874,Multiple Sclerosis,RRMS,Drug,Phase 3,200,Biogen Investigative Site
603,lithuania,klaipeda,55.7172222,21.1175,192314,0,NCT02525874,Multiple Sclerosis,RRMS,Drug,Phase 3,200,Biogen Investigative Site
604,lithuania,vilnius,54.6833333,25.3166667,542381,604,NCT02525874,Multiple Sclerosis,RRMS,Drug,Phase 3,200,Biogen Investigative Site
605,poland,katowice,50.258415,19.027545,317316,0,NCT02525874,Multiple Sclerosis,RRMS,Drug,Phase 3,200,Biogen Investigative Site
606,poland,katowice,50.258415,19.027545,317316,0,NCT02525874,Multiple Sclerosis,RRMS,Drug,Phase 3,200,Biogen Investigative Site
607,united states of america,portland,45.5236111,-122.675,540513,607,NCT02149706,Multiple Sclerosis,Progressive Multiple Sclerosis,Biological,Phase 2,150,OHSU MS Center
608,united states of america,baltimore,39.2902778,-76.6125,610892,608,NCT02253264,Multiple Sclerosis,Progressive Multiple Sclerosis,Drug,Phase 1,12,The Johns Hopkins Hospital
609,switzerland,lugano,46.006182,8.951142,26327,7,NCT02082002,Multiple Sclerosis,All,Behavioral,N/A,100,Ospedale Regionale di Lugano - Civico
610,united states of america,birmingham,33.5205556,-86.8025,231621,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
611,united states of america,gilbert,33.3527778,-111.7883333,170829,81,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
612,united states of america,phoenix,33.4483333,-112.0733333,1428509,612,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
613,united states of america,phoenix,33.4483333,-112.0733333,1428509,613,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
614,united states of america,phoenix,33.4483333,-112.0733333,1428509,614,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
615,united states of america,tucson,32.2216667,-110.9258333,518907,615,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
616,united states of america,fullerton,33.8702778,-117.9244444,135353,102,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
617,united states of america,loma linda,34.0483333,-117.2602778,20802,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
618,united states of america,newport beach,33.6188889,-117.9280556,78702,102,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
619,united states of america,aurora,39.7294444,-104.8313889,299780,286,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
620,united states of america,denver,39.7391667,-104.9841667,555981,620,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
621,united states of america,danbury,41.3947222,-73.4544444,78565,1,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
622,united states of america,dover,39.1580556,-75.5247222,33286,29,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
623,united states of america,newark,39.6836111,-75.75,30238,29,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
624,united states of america,washington,38.895,-77.0366667,552433,624,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
625,united states of america,washington,38.895,-77.0366667,552433,625,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
626,united states of america,lighthouse point,26.2752778,-80.0875,11237,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
627,united states of america,maitland,28.6275,-81.3633333,11686,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
628,united states of america,port charlotte,26.9758333,-82.0908333,49333,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
629,united states of america,sarasota,27.3361111,-82.5308333,53327,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
630,united states of america,saint petersburg,27.7705556,-82.6794444,246316,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
631,united states of america,tampa,27.9472222,-82.4586111,324465,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
632,united states of america,atlanta,33.7488889,-84.3880556,422908,632,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
633,united states of america,augusta,33.4708333,-81.975,195844,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
634,united states of america,savannah,32.0833333,-81.1,126119,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
635,united states of america,chicago,41.85,-87.65,2841952,635,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
636,united states of america,chicago,41.85,-87.65,2841952,636,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
637,united states of america,peoria,40.6936111,-89.5888889,113004,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
638,united states of america,winfield,41.8616667,-88.1608333,9802,44,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
639,united states of america,elkhart,41.6819444,-85.9766667,51400,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
640,united states of america,des moines,41.6005556,-93.6088889,193180,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
641,united states of america,des moines,41.6005556,-93.6088889,193180,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
642,united states of america,lenexa,38.9536111,-94.7333333,43331,1051,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
643,united states of america,henderson,37.8361111,-87.59,27495,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
644,united states of america,louisville,38.2541667,-85.7594444,243639,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
645,united states of america,hammond,30.5041667,-90.4611111,17812,113,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
646,united states of america,new orleans,29.9544444,-90.075,459336,646,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
647,united states of america,rockport,44.1844444,-69.0766667,1318,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
648,united states of america,baltimore,39.2902778,-76.6125,610892,648,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
649,united states of america,baltimore,39.2902778,-76.6125,610892,649,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
650,united states of america,glen burnie,39.1625,-76.625,40317,5,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
651,united states of america,hagerstown,39.6416667,-77.7202778,37313,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
652,united states of america,rockville,39.0838889,-77.1530556,60646,43,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
653,united states of america,boston,42.3583333,-71.0602778,571281,653,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
654,united states of america,boston,42.3583333,-71.0602778,571281,654,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
655,united states of america,foxboro,42.0583333,-71.25,16693,45,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
656,united states of america,lexington,42.4472222,-71.225,30661,45,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
657,united states of america,worcester,42.2625,-71.8027778,177216,45,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
658,united states of america,detroit,42.3313889,-83.0458333,884941,658,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
659,united states of america,east lansing,42.7369444,-84.4838889,48371,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
660,united states of america,edina,44.8897222,-93.3497222,45945,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
661,united states of america,golden valley,45.0097222,-93.3488889,20325,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
662,united states of america,ocean springs,30.4111111,-88.8277778,17659,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
663,united states of america,saint louis,38.6272222,-90.1977778,320916,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
664,united states of america,lincoln,40.8,-96.6666667,242072,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
665,united states of america,lincoln,40.8,-96.6666667,242072,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
666,united states of america,las vegas,36.175,-115.1363889,540111,666,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
667,united states of america,flemington,40.5122222,-74.8597222,4581,29,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
668,united states of america,livingston,40.7958333,-74.3152778,27853,1,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
669,united states of america,new brunswick,40.4861111,-74.4522222,50633,1,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
670,united states of america,newark,40.7355556,-74.1727778,280123,1,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
671,united states of america,stratford,39.8266667,-75.0158333,7040,29,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
672,united states of america,toms river,39.9536111,-74.1983333,119088,1,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
673,united states of america,cedarhurst,40.6227778,-73.7247222,6592,1,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
674,united states of america,east meadow,40.7138889,-73.5594444,37427,1,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
675,united states of america,kingston,41.9269444,-73.9977778,23174,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
676,united states of america,new york,40.7141667,-74.0063889,8107916,676,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
677,united states of america,new york,40.7141667,-74.0063889,8107916,677,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
678,united states of america,patchogue,40.7655556,-73.0155556,12030,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
679,united states of america,plainview,40.7763889,-73.4677778,25174,1,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
680,united states of america,syracuse,43.0480556,-76.1477778,141830,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
681,united states of america,asheville,35.6008333,-82.5541667,68795,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
682,united states of america,greensboro,36.0725,-79.7922222,231769,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
683,united states of america,pinehurst,35.1952778,-79.4697222,11523,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
684,united states of america,raleigh,35.7719444,-78.6388889,338759,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
685,united states of america,bismarck,46.8083333,-100.7833333,56706,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
686,united states of america,canton,40.7988889,-81.3786111,78160,51,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
687,united states of america,cleveland,41.4994444,-81.6955556,449514,687,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
688,united states of america,oklahoma city,35.4675,-97.5161111,532950,688,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
689,united states of america,oklahoma city,35.4675,-97.5161111,532950,689,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
690,united states of america,tulsa,36.1538889,-95.9925,382005,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
691,united states of america,portland,45.5236111,-122.675,540513,691,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
692,united states of america,portland,45.5236111,-122.675,540513,692,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
693,united states of america,allentown,40.6083333,-75.4905556,105519,29,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
694,united states of america,meadowbrook,40.1125,-75.0786111,18571,29,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
695,united states of america,monroeville,40.4211111,-79.7883333,28386,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
696,united states of america,philadelphia,39.9522222,-75.1641667,1453268,696,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
697,united states of america,pittsburgh,40.4405556,-79.9961111,319494,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
698,united states of america,tarentum,40.6013889,-79.76,4530,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
699,united states of america,willow grove,40.1438889,-75.1161111,16129,29,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
700,united states of america,columbia,34.0005556,-81.035,117722,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
701,united states of america,spartanburg,34.9494444,-81.9322222,37992,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
702,united states of america,knoxville,35.9605556,-83.9208333,172474,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
703,united states of america,knoxville,35.9605556,-83.9208333,172474,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
704,united states of america,nashville,36.1658333,-86.7844444,530852,704,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
705,united states of america,colleyville,32.8808333,-97.1547222,22325,53,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
706,united states of america,norfolk,36.8466667,-76.2855556,246216,1285,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
707,united states of america,norfolk,36.8466667,-76.2855556,246216,1285,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
708,united states of america,richmond,37.5536111,-77.4605556,190886,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
709,united states of america,kirkland,47.6816667,-122.2075,45778,73,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
710,united states of america,seattle,47.6063889,-122.3308333,569369,710,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
711,united states of america,tacoma,47.2530556,-122.4430556,196957,73,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
712,united states of america,green bay,44.5191667,-88.0197222,101012,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
713,united states of america,green bay,44.5191667,-88.0197222,101012,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
714,united states of america,green bay,44.5191667,-88.0197222,101012,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
715,united states of america,madison,43.0730556,-89.4011111,224625,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
716,united states of america,milwaukee,43.0388889,-87.9063889,579180,716,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
717,united states of america,milwaukee,43.0388889,-87.9063889,579180,717,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
718,united states of america,neenah,44.1858333,-88.4625,24810,0,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
719,australia,camperdown,-33.9,151.183333,7866,723,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
720,australia,concord,-33.866667,151.1,14150,723,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
721,australia,kogarah,-33.983333,151.116667,10984,723,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
722,australia,liverpool,-33.9,150.933333,24095,723,NCT02047097,Multiple Sclerosis,All,Drug,Phase 4,5000,Biogen Investigative Site
